id,date,count
b1e1e1e1-0000-0000-0000-000000000001,2025-05-23,7
b1e1e1e1-0000-0000-0000-000000000002,2025-05-22,7
b1e1e1e1-0000-0000-0000-000000000003,2025-05-21,7
b1e1e1e1-0000-0000-0000-000000000004,2025-05-20,7
b1e1e1e1-0000-0000-0000-000000000005,2025-05-19,6
b1e1e1e1-0000-0000-0000-000000000006,2025-05-18,6
b1e1e1e1-0000-0000-0000-000000000007,2025-05-17,6
b1e1e1e1-0000-0000-0000-000000000008,2025-05-16,6
b1e1e1e1-0000-0000-0000-000000000009,2025-05-15,6
b1e1e1e1-0000-0000-0000-00000000000a,2025-05-14,6
b1e1e1e1-0000-0000-0000-00000000000b,2025-05-13,6
b1e1e1e1-0000-0000-0000-00000000000c,2025-05-12,6
b1e1e1e1-0000-0000-0000-00000000000d,2025-05-11,6
b1e1e1e1-0000-0000-0000-00000000000e,2025-05-10,6
b1e1e1e1-0000-0000-0000-00000000000f,2025-05-09,6
b1e1e1e1-0000-0000-0000-000000000010,2025-05-08,6
b1e1e1e1-0000-0000-0000-000000000011,2025-05-07,6
b1e1e1e1-0000-0000-0000-000000000012,2025-05-06,7
b1e1e1e1-0000-0000-0000-000000000013,2025-05-05,4
b1e1e1e1-0000-0000-0000-000000000014,2025-05-04,6
b1e1e1e1-0000-0000-0000-000000000015,2025-05-03,6
b1e1e1e1-0000-0000-0000-000000000016,2025-05-02,4
b1e1e1e1-0000-0000-0000-000000000017,2025-05-01,6
b1e1e1e1-0000-0000-0000-000000000018,2025-04-30,6
b1e1e1e1-0000-0000-0000-000000000019,2025-04-29,6
b1e1e1e1-0000-0000-0000-00000000001a,2025-04-28,6
b1e1e1e1-0000-0000-0000-00000000001b,2025-04-27,5
b1e1e1e1-0000-0000-0000-00000000001c,2025-04-26,19
b1e1e1e1-0000-0000-0000-00000000001d,2025-04-23,7
b1e1e1e1-0000-0000-0000-00000000001e,2025-04-22,6
b1e1e1e1-0000-0000-0000-00000000001f,2025-04-21,12
b1e1e1e1-0000-0000-0000-000000000020,2025-04-19,20
b1e1e1e1-0000-0000-0000-000000000021,2025-04-16,7
b1e1e1e1-0000-0000-0000-000000000022,2025-04-15,6
b1e1e1e1-0000-0000-0000-000000000023,2025-04-14,7
b1e1e1e1-0000-0000-0000-000000000024,2025-04-13,7
b1e1e1e1-0000-0000-0000-000000000025,2025-04-12,6
b1e1e1e1-0000-0000-0000-000000000026,2025-04-11,6
b1e1e1e1-0000-0000-0000-000000000027,2025-04-10,7
b1e1e1e1-0000-0000-0000-000000000028,2025-04-09,7
b1e1e1e1-0000-0000-0000-000000000029,2025-04-08,6
b1e1e1e1-0000-0000-0000-00000000002a,2025-04-07,7
b1e1e1e1-0000-0000-0000-00000000002b,2025-04-06,7
b1e1e1e1-0000-0000-0000-00000000002c,2025-04-05,7
b1e1e1e1-0000-0000-0000-00000000002d,2025-04-04,6
b1e1e1e1-0000-0000-0000-00000000002e,2025-04-03,6
b1e1e1e1-0000-0000-0000-00000000002f,2025-04-02,7
b1e1e1e1-0000-0000-0000-000000000030,2025-04-01,7
b1e1e1e1-0000-0000-0000-000000000031,2025-03-30,7
b1e1e1e1-0000-0000-0000-000000000032,2025-03-29,6
b1e1e1e1-0000-0000-0000-000000000033,2025-03-28,6
b1e1e1e1-0000-0000-0000-000000000034,2025-03-27,6
b1e1e1e1-0000-0000-0000-000000000035,2025-03-26,6
b1e1e1e1-0000-0000-0000-000000000036,2025-03-25,6
b1e1e1e1-0000-0000-0000-000000000037,2025-03-24,6
b1e1e1e1-0000-0000-0000-000000000038,2025-03-23,6
b1e1e1e1-0000-0000-0000-000000000039,2025-03-22,6
b1e1e1e1-0000-0000-0000-00000000003a,2025-03-21,6
b1e1e1e1-0000-0000-0000-00000000003b,2025-03-20,6
b1e1e1e1-0000-0000-0000-00000000003c,2025-03-19,6
b1e1e1e1-0000-0000-0000-00000000003d,2025-03-18,6
b1e1e1e1-0000-0000-0000-00000000003e,2025-03-17,6
b1e1e1e1-0000-0000-0000-00000000003f,2025-03-16,6
b1e1e1e1-0000-0000-0000-000000000040,2025-03-15,6
b1e1e1e1-0000-0000-0000-000000000041,2025-03-14,6
b1e1e1e1-0000-0000-0000-000000000042,2025-03-13,6
b1e1e1e1-0000-0000-0000-000000000043,2025-03-12,6
b1e1e1e1-0000-0000-0000-000000000044,2025-03-11,6
b1e1e1e1-0000-0000-0000-000000000045,2025-03-10,6
b1e1e1e1-0000-0000-0000-000000000046,2025-03-09,6
b1e1e1e1-0000-0000-0000-000000000047,2025-03-08,6
b1e1e1e1-0000-0000-0000-000000000048,2025-03-07,6
b1e1e1e1-0000-0000-0000-000000000049,2025-03-06,6
b1e1e1e1-0000-0000-0000-00000000004a,2025-03-05,6
b1e1e1e1-0000-0000-0000-00000000004b,2025-03-04,6
b1e1e1e1-0000-0000-0000-00000000004c,2025-03-03,6
b1e1e1e1-0000-0000-0000-00000000004d,2025-03-02,6
b1e1e1e1-0000-0000-0000-00000000004e,2025-03-01,6
b1e1e1e1-0000-0000-0000-00000000004f,2025-02-28,6
b1e1e1e1-0000-0000-0000-000000000050,2025-02-27,6
b1e1e1e1-0000-0000-0000-000000000051,2025-02-26,6
b1e1e1e1-0000-0000-0000-000000000052,2025-02-25,6
b1e1e1e1-0000-0000-0000-000000000053,2025-02-24,6
b1e1e1e1-0000-0000-0000-000000000054,2025-02-23,6
b1e1e1e1-0000-0000-0000-000000000055,2025-02-22,6
b1e1e1e1-0000-0000-0000-000000000056,2025-02-21,6
b1e1e1e1-0000-0000-0000-000000000057,2025-02-20,6
b1e1e1e1-0000-0000-0000-000000000058,2025-02-19,6
b1e1e1e1-0000-0000-0000-000000000059,2025-02-18,6
b1e1e1e1-0000-0000-0000-00000000005a,2025-02-17,6
b1e1e1e1-0000-0000-0000-00000000005b,2025-02-16,6
b1e1e1e1-0000-0000-0000-00000000005c,2025-02-15,6
b1e1e1e1-0000-0000-0000-00000000005d,2025-02-14,6
b1e1e1e1-0000-0000-0000-00000000005e,2025-02-13,6
b1e1e1e1-0000-0000-0000-00000000005f,2025-02-12,6
b1e1e1e1-0000-0000-0000-000000000060,2025-02-11,6
b1e1e1e1-0000-0000-0000-000000000061,2025-02-10,6
b1e1e1e1-0000-0000-0000-000000000062,2025-02-09,6
b1e1e1e1-0000-0000-0000-000000000063,2025-02-08,6
b1e1e1e1-0000-0000-0000-000000000064,2025-02-07,6
b1e1e1e1-0000-0000-0000-000000000065,2025-02-06,6
b1e1e1e1-0000-0000-0000-000000000066,2025-02-05,6
b1e1e1e1-0000-0000-0000-000000000067,2025-02-04,6
b1e1e1e1-0000-0000-0000-000000000068,2025-02-03,6
b1e1e1e1-0000-0000-0000-000000000069,2025-02-02,6
b1e1e1e1-0000-0000-0000-00000000006a,2025-02-01,6
b1e1e1e1-0000-0000-0000-00000000006b,2025-01-31,6
b1e1e1e1-0000-0000-0000-00000000006c,2025-01-30,6
b1e1e1e1-0000-0000-0000-00000000006d,2025-01-29,6
b1e1e1e1-0000-0000-0000-00000000006e,2025-01-28,6
b1e1e1e1-0000-0000-0000-00000000006f,2025-01-27,6
b1e1e1e1-0000-0000-0000-000000000070,2025-01-26,6
b1e1e1e1-0000-0000-0000-000000000071,2025-01-25,6
b1e1e1e1-0000-0000-0000-000000000072,2025-05-24,6
b1e1e1e1-0000-0000-0000-000000000073,2025-05-25,6
b1e1e1e1-0000-0000-0000-000000000074,2025-05-26,6
b1e1e1e1-0000-0000-0000-000000000075,2025-05-27,6
b1e1e1e1-0000-0000-0000-000000000076,2025-05-28,6
b1e1e1e1-0000-0000-0000-000000000077,2025-05-29,6
b1e1e1e1-0000-0000-0000-000000000078,2025-05-30,6
b1e1e1e1-0000-0000-0000-000000000079,2025-05-31,6
b1e1e1e1-0000-0000-0000-00000000007a,2025-06-01,6
b1e1e1e1-0000-0000-0000-00000000007b,2025-06-02,6
b1e1e1e1-0000-0000-0000-00000000007c,2025-06-03,6
b1e1e1e1-0000-0000-0000-00000000007d,2025-06-04,6
